date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2013-01-30,BIIB,153.54,156.08,152.92,155.08,1718918,Event4,0.644828475625
2013-01-29,BIIB,149.66,154.96,149.63,153.92,2203457,Event4,0.753638253638
2013-01-28,BIIB,149.64,156.94,147.77,149.99,2993798,Event4,2.62017467831
2013-01-25,BIIB,146.94,147.49,144.55,146.2,1182947,Event4,2.59233926129
2013-01-24,BIIB,144.98,146.57,144.81,146.41,2116062,Event4,-0.143432825627
2013-01-23,BIIB,144.66,145.37,143.33,143.55,1110127,Event4,1.99233716475
2013-01-22,BIIB,144.0,145.0,143.18,144.86,1395766,Event4,-0.904321413779
2013-01-18,BIIB,143.57,144.68,143.16,144.28,1838382,Event4,0.401996118658
2013-01-17,BIIB,143.0,144.18,142.53,143.72,1499660,Event4,0.389646534929
2013-01-16,BIIB,142.82,143.3,141.76,142.82,1139861,Event4,0.630163842599
2013-01-15,BIIB,141.58,143.06,139.72,143.01,1391759,Event4,-0.132857842109
2013-01-14,BIIB,144.11,144.49,143.16,143.88,1164327,Event4,-0.604670558799
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2012-11-20,GILD,37.44,38.05,37.32,37.9,15283592,Event7,[]
2012-11-19,GILD,37.36,37.62,36.88,37.41,18330000,Event7,1.30981021117
2012-11-16,GILD,36.52,37.46,36.41,37.2,26510400,Event7,0.564516129032
2012-11-15,GILD,36.02,36.54,35.56,36.44,16891692,Event7,2.08562019759
2012-11-14,GILD,36.28,36.96,36.0,36.14,23383976,Event7,0.830105146652
2012-11-13,GILD,37.14,37.74,36.28,36.34,37446668,Event7,-0.550357732526
2012-11-12,GILD,36.16,37.17,35.79,36.96,61567950,Event7,-1.67748917749
2012-11-09,GILD,32.3,33.18,32.26,32.5,18081440,Event7,13.7230769231
2012-11-08,GILD,32.59,32.74,32.07,32.42,18285604,Event7,0.246761258482
2012-11-07,GILD,33.48,33.61,32.66,32.72,13579010,Event7,-0.916870415648
2012-11-06,GILD,33.58,33.98,33.3,33.74,6264930,Event7,-3.02311796088
2012-11-05,GILD,33.39,33.64,32.87,33.52,7289274,Event7,0.656324582339
2012-11-02,GILD,33.85,33.85,33.23,33.5,11575594,Event7,0.0597014925373
2012-11-01,GILD,33.85,34.18,33.54,33.75,8702480,Event7,-0.740740740741
2012-10-31,GILD,33.84,34.37,33.34,33.59,10130286,Event7,0.476332241739
date,symbol,open,high,low,close,volume,Event_Number,percent_change_close
2011-12-30,BMS,30.06,30.18,29.95,30.08,334718,Event22,[]
2011-12-29,BMS,29.91,30.1,29.86,30.03,445594,Event22,0.1665001665
2011-12-28,BMS,30.14,30.14,29.81,29.84,487236,Event22,0.63672922252
2011-12-27,BMS,29.81,30.15,29.76,30.08,517768,Event22,-0.797872340426
2011-12-23,BMS,29.89,29.97,29.66,29.94,429388,Event22,0.467601870407
2011-12-22,BMS,29.65,29.87,29.54,29.75,686692,Event22,0.638655462185
2011-12-21,BMS,29.65,29.68,29.32,29.56,828565,Event22,0.642760487145
2011-12-20,BMS,29.57,29.82,29.54,29.66,731312,Event22,-0.337154416723
2011-12-19,BMS,29.42,29.42,29.01,29.16,779400,Event22,1.7146776406
2011-12-16,BMS,29.22,29.34,29.05,29.29,913281,Event22,-0.443837487197
2011-12-15,BMS,29.06,29.31,28.76,29.05,886894,Event22,0.826161790017
2011-12-14,BMS,28.91,29.14,28.73,28.85,609547,Event22,0.693240901213
2011-12-13,BMS,29.42,29.68,28.81,29.02,502011,Event22,-0.585802894555
2011-12-12,BMS,29.39,29.44,28.96,29.17,622845,Event22,-0.514226945492
